schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
cosine_bump,obj_0083,0.411171,18.3946,0.006908,0.197510,0.252197,0.008843,0.016540,0.222829
cosine_bump,obj_0084,0.175521,18.9634,0.009911,0.189087,0.292969,0.041135,0.043198,0.613893
cosine_bump,obj_0085,0.376627,17.3959,0.005508,0.163452,0.282715,0.010792,0.081023,0.248804
cosine_bump,obj_0086,0.285110,19.3058,0.004398,0.150635,0.272461,0.049357,0.118019,0.527816
cosine_bump,obj_0087,0.463386,22.2615,0.003838,0.190186,0.196533,0.009377,0.090577,0.257244
cosine_bump,obj_0088,0.270270,18.0196,0.003181,0.138306,0.202271,0.041327,0.025130,0.473785
cosine_bump,obj_0089,0.212064,17.9246,0.003536,0.163940,0.251709,0.029513,0.034785,0.544593
cosine_bump,obj_0090,0.189534,17.8097,0.006474,0.160889,0.250488,0.067273,0.048821,0.652758
cosine_bump,obj_0091,0.248979,14.3564,0.023056,0.208984,0.409668,0.009358,0.175683,0.267362
cosine_bump,obj_0092,0.302294,18.6411,0.004974,0.133789,0.292480,0.026724,0.076689,0.423871
cosine_bump,obj_0093,0.343817,16.3704,0.004856,0.178711,0.226318,0.019499,0.183595,0.436188
cosine_bump,obj_0094,0.271067,16.6797,0.015518,0.169556,0.366943,0.030410,0.020976,0.430805
cosine_bump,obj_0095,0.193593,14.2354,0.006977,0.173584,0.302002,0.026604,0.017374,0.438415
cosine_bump,obj_0096,0.427534,23.4714,0.004452,0.165039,0.250488,0.010207,0.036520,0.286032
cosine_bump,obj_0097,0.103568,21.0897,0.006821,0.111206,0.271973,0.087276,0.041269,1.090399
cosine_bump,obj_0098,0.289055,15.4239,0.016525,0.206055,0.408691,0.009924,0.009777,0.216112
cosine_bump,obj_0099,0.268444,13.7832,0.005745,0.191772,0.253906,0.011558,0.076275,0.231617
cosine_bump,obj_0100,0.136156,20.3036,0.003798,0.129028,0.238159,0.059775,0.013043,0.842542
cosine_bump,obj_0101,0.168433,14.3113,0.013206,0.187744,0.369873,0.035814,0.075823,0.571971
cosine_bump,obj_0102,0.177353,18.7965,0.003120,0.163940,0.221069,0.029063,0.015868,0.628078
cosine_bump,obj_0103,0.218158,12.9998,0.026352,0.231079,0.440430,0.026621,0.139617,0.417841
cosine_bump,obj_0104,0.170786,12.8224,0.014122,0.207520,0.350586,0.037244,0.048556,0.512132
cosine_bump,obj_0105,0.245849,15.0577,0.022980,0.212769,0.452393,0.014199,0.015066,0.275988
cosine_bump,obj_0106,0.128133,11.9713,0.024948,0.214966,0.479248,0.019321,0.007393,0.354784
cosine_bump,obj_0107,0.167560,15.3881,0.005005,0.189087,0.260254,0.023975,0.007687,0.404813
cosine_bump,obj_0108,0.296941,18.9303,0.001405,0.141846,0.147827,0.052290,0.050098,0.552431
cosine_bump,obj_0109,0.322119,14.3334,0.021866,0.220825,0.400879,0.006834,0.170872,0.197096
cosine_bump,obj_0110,0.664058,21.2592,0.001984,0.196899,0.140991,0.001130,0.001487,0.052878
cosine_bump,obj_0111,0.499810,19.8950,0.004623,0.217407,0.227417,0.004280,0.001502,0.114542
cosine_bump,obj_0112,0.049917,20.8082,0.004658,0.148560,0.264648,0.100967,0.011951,1.375340
cosine_bump,obj_0113,0.421003,16.5393,0.006947,0.201660,0.261963,0.004942,0.013240,0.195535
