participant,object,criterion,choice
NUM06,OBJ08,shape,C3
NUM06,OBJ09,shape,C3
NUM06,OBJ10,shape,s2.50
NUM06,OBJ11,shape,s2.50
NUM06,OBJ12,shape,C3
NUM06,OBJ13,shape,C3
NUM06,OBJ14,shape,s2.50
NUM06,OBJ15,shape,s2.50
NUM06,OBJ16,shape,s2.50
NUM06,OBJ17,shape,s2.50
NUM06,OBJ18,shape,s2.50
NUM06,OBJ19,shape,C3
NUM06,OBJ20,shape,s2.50
NUM06,OBJ21,shape,C3
NUM06,OBJ22,shape,C3
NUM06,OBJ23,shape,C3
NUM06,OBJ24,shape,s2.50
NUM06,OBJ25,shape,C3
NUM06,OBJ26,shape,C3
NUM06,OBJ27,shape,s2.50
NUM06,OBJ28,shape,C3
NUM06,OBJ29,shape,s2.50
NUM06,OBJ30,shape,s2.50
NUM06,OBJ01,overall,C3
NUM06,OBJ02,overall,s1.25
NUM06,OBJ03,overall,C3
NUM06,OBJ04,overall,s1.25
NUM06,OBJ05,overall,s1.25
NUM06,OBJ06,overall,s1.25
NUM06,OBJ07,overall,C3
NUM06,OBJ08,overall,s1.25
NUM06,OBJ09,overall,s1.25
NUM06,OBJ10,overall,s2.50
NUM06,OBJ11,overall,s1.25
NUM06,OBJ12,overall,C3
NUM06,OBJ13,overall,s1.25
NUM06,OBJ14,overall,C3
NUM06,OBJ15,overall,s2.50
NUM06,OBJ16,overall,s1.25
NUM06,OBJ17,overall,s1.25
NUM06,OBJ18,overall,C3
NUM06,OBJ19,overall,s2.50
NUM06,OBJ20,overall,s2.50
NUM06,OBJ21,overall,C3
NUM06,OBJ22,overall,s2.50
NUM06,OBJ23,overall,C3
NUM06,OBJ24,overall,s1.25
NUM06,OBJ25,overall,s1.25
NUM06,OBJ26,overall,C3
NUM06,OBJ27,overall,C3
NUM06,OBJ28,overall,s1.25
NUM06,OBJ29,overall,s1.25
NUM06,OBJ30,overall,s2.50
NUM07,OBJ01,texture,C3
NUM07,OBJ02,texture,C3
NUM07,OBJ03,texture,C3
NUM07,OBJ04,texture,C3
NUM07,OBJ05,texture,C3
NUM07,OBJ06,texture,s1.25
NUM07,OBJ07,texture,C3
NUM07,OBJ08,texture,s1.25
NUM07,OBJ09,texture,C3
NUM07,OBJ10,texture,s1.25
NUM07,OBJ11,texture,s1.25
NUM07,OBJ12,texture,C3
NUM07,OBJ13,texture,s1.25
NUM07,OBJ14,texture,s1.25
NUM07,OBJ15,texture,C3
NUM07,OBJ16,texture,s1.25
NUM07,OBJ17,texture,C3
NUM07,OBJ18,texture,C3
NUM07,OBJ19,texture,C3
NUM07,OBJ20,texture,s1.25
NUM07,OBJ21,texture,C3
NUM07,OBJ22,texture,s1.25
NUM07,OBJ23,texture,C3
NUM07,OBJ24,texture,s2.50
NUM07,OBJ25,texture,s2.50
NUM07,OBJ26,texture,C3
NUM07,OBJ27,texture,s1.25
NUM07,OBJ28,texture,s1.25
NUM07,OBJ29,texture,s1.25
NUM07,OBJ30,texture,C3
NUM07,OBJ01,shape,C3
NUM07,OBJ02,shape,C3
NUM07,OBJ03,shape,C3
NUM07,OBJ04,shape,C3
NUM07,OBJ05,shape,C3
NUM07,OBJ06,shape,C3
NUM07,OBJ07,shape,C3
NUM07,OBJ08,shape,C3
NUM07,OBJ09,shape,C3
NUM07,OBJ10,shape,C3
NUM07,OBJ11,shape,s2.50
NUM07,OBJ12,shape,C3
NUM07,OBJ13,shape,s2.50
NUM07,OBJ14,shape,C3
NUM07,OBJ15,shape,s2.50
NUM07,OBJ16,shape,s2.50
NUM07,OBJ17,shape,C3
NUM07,OBJ18,shape,s2.50
NUM07,OBJ19,shape,s2.50
NUM07,OBJ20,shape,s2.50
NUM07,OBJ21,shape,s2.50
NUM07,OBJ22,shape,s2.50
NUM07,OBJ23,shape,s2.50
NUM07,OBJ24,shape,C3
NUM07,OBJ25,shape,C3
NUM07,OBJ26,shape,C3
NUM07,OBJ27,shape,C3
NUM07,OBJ28,shape,s2.50
NUM07,OBJ29,shape,s2.50
NUM07,OBJ30,shape,C3
NUM07,OBJ01,overall,C3
NUM07,OBJ02,overall,C3
NUM07,OBJ03,overall,s1.25
NUM07,OBJ04,overall,C3
NUM07,OBJ05,overall,C3
NUM07,OBJ06,overall,s1.25
NUM07,OBJ07,overall,s2.50
NUM07,OBJ08,overall,s1.25
NUM07,OBJ09,overall,s2.50
NUM07,OBJ10,overall,s1.25
NUM07,OBJ11,overall,s1.25
NUM07,OBJ12,overall,C3
NUM07,OBJ13,overall,s2.50
NUM07,OBJ14,overall,s1.25
NUM07,OBJ15,overall,s2.50
NUM07,OBJ16,overall,C3
NUM07,OBJ17,overall,C3
NUM07,OBJ18,overall,C3
NUM07,OBJ19,overall,s2.50
NUM07,OBJ20,overall,C3
NUM07,OBJ21,overall,s2.50
NUM07,OBJ22,overall,C3
NUM07,OBJ23,overall,s1.25
NUM07,OBJ24,overall,C3
NUM07,OBJ25,overall,C3
NUM07,OBJ26,overall,C3
NUM07,OBJ27,overall,s2.50
NUM07,OBJ28,overall,C3
NUM07,OBJ29,overall,s2.50
NUM07,OBJ30,overall,C3
NUM08,OBJ01,texture,s2.50
NUM08,OBJ02,texture,s2.50
NUM08,OBJ03,texture,C3
NUM08,OBJ04,texture,s1.25
NUM08,OBJ05,texture,C3
NUM08,OBJ06,texture,s1.25
NUM08,OBJ07,texture,C3
NUM08,OBJ08,texture,C3
NUM08,OBJ09,texture,C3
NUM08,OBJ10,texture,s1.25
NUM08,OBJ11,texture,C3
NUM08,OBJ12,texture,C3
NUM08,OBJ13,texture,C3
NUM08,OBJ14,texture,C3
NUM08,OBJ15,texture,s1.25
NUM08,OBJ16,texture,C3
NUM08,OBJ17,texture,C3
NUM08,OBJ18,texture,C3
NUM08,OBJ19,texture,C3
NUM08,OBJ20,texture,s1.25
NUM08,OBJ21,texture,C3
NUM08,OBJ22,texture,C3
NUM08,OBJ23,texture,C3
NUM08,OBJ24,texture,C3
NUM08,OBJ25,texture,C3
NUM08,OBJ26,texture,C3
NUM08,OBJ27,texture,C3
NUM08,OBJ28,texture,C3
NUM08,OBJ29,texture,C3
NUM08,OBJ30,texture,s2.50
NUM08,OBJ01,shape,s1.25
NUM08,OBJ02,shape,s1.25
NUM08,OBJ03,shape,s2.50
NUM08,OBJ04,shape,s2.50
NUM08,OBJ05,shape,C3
NUM08,OBJ06,shape,s1.25
NUM08,OBJ07,shape,s2.50
NUM08,OBJ08,shape,C3
NUM08,OBJ09,shape,s1.25
NUM08,OBJ10,shape,s1.25
NUM08,OBJ11,shape,s2.50
NUM08,OBJ12,shape,s2.50
NUM08,OBJ13,shape,s1.25
NUM08,OBJ14,shape,s2.50
NUM08,OBJ15,shape,s1.25
NUM08,OBJ16,shape,s1.25
NUM08,OBJ17,shape,s1.25
NUM08,OBJ18,shape,s2.50
NUM08,OBJ19,shape,s2.50
NUM08,OBJ20,shape,C3
NUM08,OBJ21,shape,s1.25
NUM08,OBJ22,shape,s2.50
NUM08,OBJ23,shape,s1.25
NUM08,OBJ24,shape,s2.50
NUM08,OBJ25,shape,s2.50
NUM08,OBJ26,shape,s2.50
NUM08,OBJ27,shape,C3
NUM08,OBJ28,shape,s2.50
NUM08,OBJ29,shape,s2.50
NUM08,OBJ30,shape,s2.50
NUM08,OBJ01,overall,s1.25
NUM08,OBJ02,overall,s2.50
NUM08,OBJ03,overall,s2.50
NUM08,OBJ04,overall,C3
NUM08,OBJ05,overall,C3
NUM08,OBJ06,overall,s1.25
NUM08,OBJ07,overall,s1.25
NUM08,OBJ08,overall,s1.25
NUM08,OBJ09,overall,C3
NUM08,OBJ10,overall,C3
NUM08,OBJ11,overall,C3
NUM08,OBJ12,overall,C3
NUM08,OBJ13,overall,s2.50
NUM08,OBJ14,overall,s1.25
NUM08,OBJ15,overall,s2.50
NUM08,OBJ16,overall,s1.25
NUM08,OBJ17,overall,C3
NUM08,OBJ18,overall,C3
NUM08,OBJ19,overall,C3
NUM08,OBJ20,overall,s1.25
NUM08,OBJ21,overall,s1.25
NUM08,OBJ22,overall,s1.25
NUM08,OBJ23,overall,C3
NUM08,OBJ24,overall,C3
NUM08,OBJ25,overall,s1.25
NUM08,OBJ26,overall,s2.50
NUM08,OBJ27,overall,s2.50
NUM08,OBJ28,overall,s1.25
NUM08,OBJ29,overall,s1.25
NUM08,OBJ30,overall,s2.50
NUM09,OBJ01,texture,s2.50
NUM09,OBJ02,texture,s2.50
NUM09,OBJ03,texture,s1.25
NUM09,OBJ04,texture,s1.25
NUM09,OBJ05,texture,s1.25
NUM09,OBJ06,texture,s1.25
NUM09,OBJ07,texture,C3
NUM09,OBJ08,texture,C3
NUM09,OBJ09,texture,C3
NUM09,OBJ10,texture,s1.25
NUM09,OBJ11,texture,s2.50
NUM09,OBJ12,texture,C3
NUM09,OBJ13,texture,C3
NUM09,OBJ14,texture,C3
NUM09,OBJ15,texture,C3
NUM09,OBJ16,texture,s2.50
NUM09,OBJ17,texture,C3
NUM09,OBJ18,texture,C3
NUM09,OBJ19,texture,s1.25
NUM09,OBJ20,texture,s1.25
NUM09,OBJ21,texture,s1.25
NUM09,OBJ22,texture,s1.25
NUM09,OBJ23,texture,s1.25
NUM09,OBJ24,texture,s2.50
NUM09,OBJ25,texture,s1.25
NUM09,OBJ26,texture,s1.25
NUM09,OBJ27,texture,s1.25
