schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
linear_warmup,obj_0040,0.412613,15.4856,0.002306,0.117493,0.153809,0.016054,0.019151,0.264784
linear_warmup,obj_0041,0.154561,11.5638,0.031113,0.161865,0.488770,0.013521,0.018698,0.219974
linear_warmup,obj_0042,0.238862,14.6815,0.006123,0.108215,0.254150,0.038065,0.044038,0.502944
linear_warmup,obj_0043,0.192864,10.5240,0.032806,0.135742,0.399658,0.010896,0.024039,0.199306
linear_warmup,obj_0044,0.204852,18.4828,0.005013,0.104370,0.229248,0.043150,0.051051,0.645594
linear_warmup,obj_0045,0.229964,13.6420,0.013481,0.110107,0.365479,0.018226,0.011428,0.285688
linear_warmup,obj_0046,0.254970,13.0953,0.004753,0.110901,0.204346,0.018600,0.043589,0.304342
linear_warmup,obj_0047,0.197092,16.3551,0.002762,0.090027,0.179199,0.027494,0.015520,0.454694
linear_warmup,obj_0048,0.569122,21.7364,0.003096,0.107849,0.171753,0.004555,0.003848,0.141279
linear_warmup,obj_0049,0.364804,17.8112,0.003162,0.116211,0.184570,0.026298,0.065672,0.445086
linear_warmup,obj_0050,0.085972,18.5575,0.002682,0.078918,0.153442,0.073496,0.038335,0.850659
linear_warmup,obj_0051,0.227417,11.7711,0.007809,0.115234,0.289062,0.022108,0.041149,0.341234
linear_warmup,obj_0052,0.355258,19.6476,0.003256,0.074646,0.159912,0.026754,0.087938,0.477072
linear_warmup,obj_0053,0.311505,14.7504,0.002110,0.102844,0.134888,0.019288,0.008141,0.375408
linear_warmup,obj_0054,0.619000,25.5630,0.001519,0.110779,0.143188,0.002689,0.001581,0.108972
linear_warmup,obj_0055,0.197996,17.2695,0.003670,0.099243,0.206177,0.062989,0.134137,0.725974
linear_warmup,obj_0056,0.224472,12.9174,0.006065,0.147583,0.258057,0.016235,0.036494,0.313845
linear_warmup,obj_0057,0.254194,13.5786,0.012184,0.167969,0.306641,0.017024,0.175335,0.273884
linear_warmup,obj_0058,0.281743,19.5447,0.002541,0.102112,0.171753,0.031104,0.026762,0.573737
linear_warmup,obj_0059,0.325322,14.7157,0.005875,0.138550,0.271729,0.014937,0.053752,0.306990
linear_warmup,obj_0060,0.376942,19.1263,0.005291,0.128540,0.275391,0.010842,0.040589,0.279710
linear_warmup,obj_0061,0.187683,14.8559,0.006470,0.123230,0.288574,0.031656,0.030186,0.511035
linear_warmup,obj_0062,0.271275,16.1983,0.001294,0.095886,0.091125,0.063954,0.146052,0.578097
linear_warmup,obj_0063,0.322715,12.0487,0.005642,0.098877,0.202271,0.017309,0.037154,0.313621
linear_warmup,obj_0064,0.470131,17.3660,0.002539,0.115601,0.168335,0.012484,0.184111,0.237518
linear_warmup,obj_0065,0.367942,19.8960,0.001465,0.112488,0.112671,0.018760,0.050869,0.397958
linear_warmup,obj_0066,0.665749,22.3674,0.002167,0.130005,0.137573,0.001163,0.001458,0.061010
linear_warmup,obj_0067,0.379044,18.0565,0.004604,0.115295,0.246216,0.009615,0.062524,0.344068
linear_warmup,obj_0068,0.589576,23.5010,0.002104,0.126831,0.147461,0.004931,0.001486,0.140852
linear_warmup,obj_0069,0.096746,14.9343,0.003944,0.139648,0.204224,0.070115,0.057225,0.694903
linear_warmup,obj_0070,0.600859,18.8292,0.002129,0.136963,0.121521,0.005445,0.056775,0.165737
linear_warmup,obj_0071,0.101241,20.4973,0.004787,0.095215,0.236694,0.062063,0.018332,1.086789
linear_warmup,obj_0072,0.369360,13.8438,0.016251,0.143921,0.337402,0.002865,0.099724,0.112215
linear_warmup,obj_0073,0.032664,11.5858,0.036987,0.193359,0.358643,0.010302,0.002147,0.080284
linear_warmup,obj_0074,0.339868,13.4254,0.005478,0.097107,0.235840,0.019268,0.064367,0.314965
linear_warmup,obj_0075,0.052274,11.5021,0.005337,0.122437,0.176758,0.077657,0.003347,0.765311
linear_warmup,obj_0076,0.208318,14.7699,0.002563,0.090210,0.156250,0.031893,0.013491,0.553979
linear_warmup,obj_0077,0.304930,11.9381,0.010277,0.128662,0.302490,0.008620,0.050093,0.245375
linear_warmup,obj_0078,0.536497,32.4279,0.000675,0.104370,0.078003,0.004251,0.001344,0.216545
linear_warmup,obj_0079,0.201264,14.4827,0.012375,0.145752,0.359375,0.012288,0.040025,0.226944
linear_warmup,obj_0080,0.176771,14.4469,0.002146,0.093079,0.177979,0.028549,0.025458,0.478131
linear_warmup,obj_0081,0.237077,15.1431,0.000956,0.107300,0.093079,0.023731,0.005986,0.371657
linear_warmup,obj_0082,0.635720,31.4929,0.000556,0.088257,0.065369,0.003320,0.001381,0.157163
linear_warmup,obj_0083,0.513249,20.2793,0.002426,0.114502,0.160400,0.008843,0.016540,0.222829
linear_warmup,obj_0084,0.174118,17.8118,0.003065,0.108398,0.134888,0.041135,0.043198,0.613893
linear_warmup,obj_0085,0.408563,18.2216,0.005730,0.118591,0.267334,0.010792,0.081023,0.248804
linear_warmup,obj_0086,0.290888,19.6510,0.006401,0.099670,0.276855,0.049357,0.118019,0.527816
linear_warmup,obj_0087,0.563833,21.6676,0.001897,0.096069,0.105713,0.009377,0.090577,0.257244
linear_warmup,obj_0088,0.296596,18.2775,0.002684,0.081604,0.171509,0.041327,0.025130,0.473785
linear_warmup,obj_0089,0.238299,18.5069,0.002085,0.106445,0.171509,0.029513,0.034785,0.544593
linear_warmup,obj_0090,0.214116,17.7618,0.002575,0.086243,0.173340,0.067273,0.048821,0.652758
linear_warmup,obj_0091,0.278632,15.6498,0.010704,0.134033,0.323975,0.009358,0.175683,0.267362
linear_warmup,obj_0092,0.341546,18.6682,0.004684,0.107849,0.207397,0.026724,0.076689,0.423871
linear_warmup,obj_0093,0.428844,16.5318,0.001687,0.123169,0.118835,0.019499,0.183595,0.436188
linear_warmup,obj_0094,0.319377,15.6320,0.011063,0.112000,0.309814,0.030410,0.020976,0.430805
linear_warmup,obj_0095,0.219042,14.5879,0.003750,0.117126,0.210449,0.026604,0.017374,0.438415
linear_warmup,obj_0096,0.489949,24.3055,0.003193,0.094482,0.173706,0.010207,0.036520,0.286032
linear_warmup,obj_0097,0.102735,21.2560,0.006130,0.091370,0.244385,0.087276,0.041269,1.090399
linear_warmup,obj_0098,0.335629,16.9682,0.009010,0.134888,0.346924,0.009924,0.009777,0.216112
linear_warmup,obj_0099,0.313178,13.9752,0.002214,0.123230,0.159668,0.011558,0.076275,0.231617
linear_warmup,obj_0100,0.146611,20.6870,0.003408,0.089355,0.224487,0.059775,0.013043,0.842542
